Item's sold ,Price ,Avg. Cost per item ,Profit ,Platform ,Total Profit ,Month
1,$4.17,$4.00,$0.17,depop,$923.45,december 
1,$7.95,$4.00,$3.95,depop,$927.40,december 
1,$11.86,$4.00,$7.86,depop,$935.26,december 
1,$9.99,$4.00,$5.99,depop,$941.25,january 
1,$5.08,$4.00,$1.08,depop,$942.33,january 
1,$6.07,$4.00,$2.07,depop,$944.40,january 
1,$18.20,$4.00,$14.20,depop,$958.60,january 
1,$6.76,$4.00,$2.76,depop,$961.36,january 
1,$5.90,$4.00,$1.90,depop,$963.26,january 
1,,,$0.00,,,
1,,,$0.00,,,
1,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
